19-3-6 下午12:59
项目统计

     	     片段	     词汇	 字符（无空白）	 字符（含空白）	#Files	
总共：  	1006522	4257057	36375270	38044126	  6142	
剩余：  	 973565	4153753	35750194	37347858	  6142	
独特：  	 251106	1495192	12745031	13643919	  5825	
剩余独特：	 250293	1486339	12700482	13591289	  5824	


单文件统计：

文件名                                                                                                                                               	  总片段	 剩余片段	 独特片段	剩余独特片段	  总计词汇	  剩余词汇	 独特词汇	剩余独特词汇	总字符（无空白）	剩余字符（无空白）	独特字符（无空白）	剩余独特字符（无空白）	总字符（含空白）	剩余字符（含空白）	独特字符（含空白）	剩余独特字符（含空白）	
4.0.1/d0/d53/classcv_1_1videostab_1_1MoreAccurateMotionWobbleSuppressorBase.html                                                                  	  160	  153	   79	    79	   619	   583	  378	   378	    6308	     6068	     4466	       4466	    6476	     6204	     4550	       4550	
4.0.1/d0/d56/classcv_1_1cuda_1_1Filter-members.html                                                                                               	   93	   92	    6	     6	   355	   351	   42	    42	    2872	     2848	      270	        270	    2945	     2918	      289	        289	
4.0.1/d0/d56/structcv_1_1cudev_1_1RGBA__to__HLS4__FULL__func.html                                                                                 	   34	   33	    8	     8	   148	   144	   61	    61	    1108	     1084	      429	        429	    1160	     1133	      445	        445	
4.0.1/d0/d57/classcv_1_1PlaneWarper.html                                                                                                          	   73	   65	   31	    31	   258	   231	  136	   136	    2123	     1952	     1145	       1145	    2214	     2024	     1189	       1189	
4.0.1/d0/d57/or__pascal_8hpp.html                                                                                                                 	   57	   55	    6	     6	   166	   149	   27	    27	    1476	     1386	      245	        245	    1519	     1414	      250	        250	
4.0.1/d0/d58/structNcvRect32s-members.html                                                                                                        	   45	   44	   14	    14	   122	   118	   56	    56	    1187	     1163	      624	        624	    1230	     1203	      645	        645	
4.0.1/d0/d59/dnn__halide_8markdown.html                                                                                                           	   17	   16	    2	     2	    57	    53	   21	    21	     487	      463	      209	        209	     512	      485	      214	        214	
4.0.1/d0/d5b/classcv_1_1dnn_1_1Net-members.html                                                                                                   	  202	  201	   92	    92	  1222	  1218	  726	   726	    8813	     8789	     6159	       6159	    9108	     9081	     6431	       6431	
4.0.1/d0/d5b/edgepreserving__filter_8hpp.html                                                                                                     	   47	   43	   11	    11	   142	   123	   53	    53	    1351	     1245	      597	        597	    1405	     1284	      617	        617	
4.0.1/d0/d5c/classcv_1_1TrackerFeatureSet-members.html                                                                                            	   59	   58	   22	    22	   210	   206	   96	    96	    2111	     2087	     1111	       1111	    2157	     2130	     1135	       1135	
4.0.1/d0/d5c/classcv_1_1viz_1_1WCloudNormals-members.html                                                                                         	  196	  195	    7	     7	   955	   951	   55	    55	    7025	     7001	      392	        392	    7119	     7092	      416	        416	
4.0.1/d0/d5c/structcv_1_1cudev_1_1log10__func_3_01short_01_4-members.html                                                                         	   38	   37	    7	     7	   187	   183	   63	    63	    1264	     1240	      361	        361	    1318	     1291	      385	        385	
4.0.1/d0/d5c/structcv_1_1cudev_1_1MakeVec_3_01uchar_00_011_01_4-members.html                                                                      	   29	   28	    6	     6	   140	   136	   61	    61	     856	      832	      340	        340	     905	      878	      366	        366	
4.0.1/d0/d5c/structcv_1_1detail_1_1get__out_3_01cv_1_1GScalar_01_4.html                                                                           	   51	   49	   18	    18	   213	   206	  114	   114	    1480	     1429	      763	        763	    1548	     1492	      788	        788	
4.0.1/d0/d5d/classcv_1_1rgbd_1_1RgbdNormals-members.html                                                                                          	  230	  229	   68	    68	   996	   992	  387	   387	    8264	     8240	     3599	       3599	    8392	     8365	     3674	       3674	
4.0.1/d0/d5d/classcvflann_1_1KNNUniqueResultSet.html                                                                                              	  176	  168	   62	    62	   617	   590	  271	   271	    6247	     6056	     2540	       2540	    6481	     6271	     2716	       2716	
4.0.1/d0/d5d/group__core__hal__interface__invSqrt.html                                                                                            	   63	   58	   23	    23	   142	   133	   79	    79	    1149	     1078	      697	        697	    1213	     1138	      737	        737	
4.0.1/d0/d5e/contrib_2modules_2cudev_2include_2opencv2_2cudev_2util_2saturate__cast_8hpp.html                                                     	  256	  253	  108	   108	  1050	  1032	  538	   538	   10545	    10446	     5293	       5293	   10842	    10728	     5470	       5470	
4.0.1/d0/d5f/structcv_1_1ParamType_3_01String_01_4.html                                                                                           	   71	   70	   27	    27	   311	   307	  133	   133	    2761	     2737	     1119	       1119	    2852	     2825	     1168	       1168	
4.0.1/d0/d60/classcv_1_1cuda_1_1GpuMat.html                                                                                                       	 2486	 2434	  541	   541	  7397	  7310	 2812	  2812	   57756	    57238	    21243	      21243	   60655	    60102	    22819	      22819	
4.0.1/d0/d60/classcv_1_1rgbd_1_1RgbdOdometry.html                                                                                                 	  859	  811	  299	   299	  2920	  2783	 1307	  1307	   27309	    26532	    13380	      13380	   28106	    27236	    13878	      13878	
4.0.1/d0/d61/group__cudacodec.html                                                                                                                	  431	  413	  184	   184	  1786	  1762	  780	   780	   16662	    16464	     7729	       7729	   17358	    17152	     8073	       8073	
4.0.1/d0/d62/namespacecv_1_1plot.html                                                                                                             	   27	   26	    2	     2	    67	    63	    9	     9	     492	      468	       59	         59	     517	      490	       64	         64	
4.0.1/d0/d62/structcv_1_1cudev_1_1acos__func_3_01double_01_4.html                                                                                 	   63	   59	   16	    16	   271	   260	  117	   117	    2041	     1964	      803	        803	    2131	     2047	      842	        842	
